,city,hot,num,level_sum,lati
0,万宁,2.4800000000000004,468,10,0
1,三亚,12.74,29893,116,0
2,三明,6.58,975,14,0
3,三门峡,3.48,250,6,0
4,上海,40.60000000000001,32754,194,0
5,上饶,12.579999999999998,3415,36,0
6,东莞,2.1799999999999997,1240,10,0
7,东营,0.7,58,1,0
8,中卫,5.260000000000001,1103,25,0
9,中山,3.3200000000000003,234,7,0
10,临夏,3.2199999999999998,33,8,0
11,临汾,9.32,1273,20,0
12,临沂,5.94,821,20,0
13,丹东,6.92,937,16,0
14,丽水,1.46,232,6,0
15,丽江,6.7,8765,34,0
16,乌兰察布,3.1399999999999997,257,9,0
17,乌海,0.7,103,5,0
18,乌鲁木齐,5.24,966,37,0
19,乐山,4.0,7026,15,0
20,九江,12.740000000000004,1830,35,0
21,云林,0.0,57,1,0
22,云浮,0.0,34,2,0
23,五家渠市,0.0,0,2,0
24,五指山,1.0,244,3,0
25,亳州,1.42,134,4,0
26,伊春,4.840000000000001,765,17,0
27,伊犁,7.680000000000001,1072,29,0
28,佛山,1.44,936,11,0
29,佳木斯,0.72,0,3,0
30,保亭,0.0,496,8,0
31,保定,10.3,2271,34,0
32,保山,5.06,639,9,0
33,信阳,1.8800000000000001,254,5,0
34,儋州,0.8,111,3,0
35,克孜勒苏,0.7,18,1,0
36,克孜勒苏柯尔克孜,0.0,77,2,0
37,克拉玛依,3.8,746,6,0
38,六安,3.6799999999999997,652,18,0
39,六盘水,0.0,357,8,0
40,兰州,9.24,636,32,0
41,兴安盟,2.44,1071,8,0
42,内蒙古,0.0,30,1,0
43,凉山州,2.4000000000000004,525,7,0
44,包头,5.340000000000001,344,15,0
45,北京,71.78000000000009,67723,195,0
46,北海,5.359999999999999,4814,21,0
47,十堰,1.7,1889,13,0
48,南京,14.619999999999997,6430,40,0
49,南充,1.74,340,6,0
50,南宁,7.66,7076,25,0
51,南平,3.92,2840,14,0
52,南投,3.0,877,13,0
53,南昌,6.74,6926,39,0
54,南通,1.0,574,7,0
55,南阳,6.340000000000001,491,15,0
56,博尔塔拉,0.0,32,4,0
57,厦门,10.959999999999999,12452,56,0
58,双鸭山,0.0,56,2,0
59,台东,0.98,503,8,0
60,台中,0.0,823,15,0
61,台北,24.639999999999997,3306,53,0
62,台南,0.7,267,5,0
63,台州,5.8,312,10,0
64,合肥,7.42,1293,21,0
65,吉安,2.44,581,12,0
66,吉林,0.0,64,1,0
67,吉林市,8.719999999999999,1124,34,0
68,吐鲁番,11.12,1697,24,0
69,吕梁,2.1399999999999997,424,8,0
70,吴忠,2.54,170,11,0
71,周口,1.5,157,4,0
72,呼伦贝尔,11.200000000000001,1548,40,0
73,呼和浩特,6.4799999999999995,1435,33,0
74,咸宁,3.6399999999999997,474,13,0
75,咸阳,4.58,1073,16,0
76,哈密,2.44,0,5,0
77,哈尔滨,14.96,11488,116,0
78,唐山,4.72,449,14,0
79,商丘,0.0,16,2,0
80,商洛,3.04,512,10,0
81,喀什,6.6,850,23,0
82,嘉义,0.0,325,4,0
83,嘉兴,4.699999999999999,3830,15,0
84,嘉峪关,3.52,1203,10,0
85,四平,4.4,0,9,0
86,固原,10.16,168,22,0
87,塔城地区,0.0,0,1,0
88,大兴安岭,1.0,125,2,0
89,大同,4.78,1089,15,0
90,大庆,2.1399999999999997,630,17,0
91,大理,15.339999999999998,5590,32,0
92,大连,12.3,10564,60,0
93,天水,7.7,442,16,0
94,天津,31.999999999999986,8967,195,0
95,太原,8.54,1769,34,0
96,威海,6.26,1449,14,0
97,娄底,2.88,250,8,0
98,孝感,2.8200000000000003,247,6,0
99,宁德,4.92,435,12,0
100,宁波,15.42,3970,39,0
101,安庆,2.96,1071,15,0
102,安康,3.0,669,12,0
103,安阳,6.78,580,13,0
104,安顺,6.800000000000001,2395,20,0
105,定安,0.0,116,2,0
106,定西,4.26,286,11,0
107,宜兰,0.0,455,7,0
108,宜宾,2.42,232,3,0
109,宜昌,8.94,2599,28,0
110,宜春,3.3,1433,18,0
111,宝鸡,3.9399999999999995,1287,22,0
112,宣城,9.540000000000001,1030,27,0
113,宿州,1.0,212,3,0
114,宿迁,1.0,1730,3,0
115,屏东,0.0,1430,22,0
116,屯昌,0.0,61,2,0
117,山南,7.000000000000001,510,21,0
118,山西,0.0,41,1,0
119,岳阳,2.44,828,9,0
120,崇左,3.1799999999999997,686,8,0
121,巴中,1.0,94,3,0
122,巴彦淖尔,0.72,326,5,0
123,巴音郭楞,8.78,660,17,0
124,常州,4.220000000000001,4149,18,0
125,常德,3.16,544,13,0
126,平凉,5.319999999999999,662,17,0
127,平顶山,4.359999999999999,625,14,0
128,广元,2.66,775,10,0
129,广安,2.54,177,5,0
130,广州,13.400000000000002,12068,50,0
131,庆阳,2.96,36,8,0
132,廊坊,1.0,123,5,0
133,延安,6.68,1760,19,0
134,延边,7.5200000000000005,2980,58,0
135,开封,9.440000000000001,1174,16,0
136,张家口,4.56,341,15,0
137,张家界,12.219999999999999,13806,30,0
138,张掖,6.960000000000001,3795,23,0
139,彰化,0.0,174,2,0
140,徐州,0.0,74,2,0
141,德宏,2.16,594,7,0
142,德州,0.0,196,6,0
143,德阳,1.0,280,6,0
144,忻州,3.8999999999999995,1524,21,0
145,怀化,2.34,231,5,0
146,恩施,5.02,2425,26,0
147,惠州,3.8400000000000007,930,11,0
148,成都,19.279999999999998,43187,79,0
149,扬州,5.58,1968,10,0
150,承德,7.54,943,19,0
151,抚州,0.74,286,6,0
152,抚顺,3.4999999999999996,762,13,0
153,拉萨,17.099999999999994,3608,58,0
154,揭阳,0.0,78,1,0
155,攀枝花,0.0,69,1,0
156,文山,1.0,194,4,0
157,文昌,0.72,42,3,0
158,新乡,3.3200000000000003,506,11,0
159,新余,1.0,72,3,0
160,新北,1.7800000000000002,567,13,0
161,新竹,0.0,185,2,0
162,无锡,10.64,5709,26,0
163,日喀则,11.479999999999999,247,26,0
164,日照,5.6000000000000005,436,9,0
165,昆明,8.719999999999999,5209,41,0
166,昌吉,4.54,1135,16,0
167,昌都,6.800000000000001,61,22,0
168,昭通,2.0,82,4,0
169,晋中,9.32,7448,30,0
170,晋城,6.24,483,13,0
171,普洱,1.7,26,2,0
172,景德镇,1.74,618,9,0
173,曲靖,2.5999999999999996,182,3,0
174,朔州,1.0,30,1,0
175,朝阳,2.44,344,8,0
176,本溪,6.9799999999999995,2194,17,0
177,来宾,0.74,179,2,0
178,杭州,18.879999999999992,12484,56,0
179,松原,1.0,74,3,0
180,林芝,9.779999999999998,1545,42,0
181,果洛藏族自治州,3.4400000000000004,0,5,0
182,枣庄,2.68,762,8,0
183,柳州,1.4,470,9,0
184,株洲,1.0,783,8,0
185,桂林,27.519999999999992,11045,78,0
186,桃园,0.0,82,2,0
187,梅州,4.859999999999999,332,10,0
188,梧州,1.74,169,3,0
189,楚雄,3.28,76,4,0
190,榆林,0.8,2,1,0
191,武威,5.48,108,9,0
192,武汉,13.32,5821,53,0
193,毕节,2.0,427,8,0
194,永州,2.72,249,5,0
195,汉中,4.34,368,12,0
196,汕头,0.0,68,2,0
197,江门,4.4,482,8,0
198,池州,7.44,1269,18,0
199,沈阳,6.72,2992,35,0
200,沧州,1.0,91,4,0
201,河池,1.54,434,13,0
202,河源,1.8199999999999998,146,4,0
203,泉州,4.88,670,20,0
204,泰安,2.54,1446,9,0
205,泰州,1.72,228,5,0
206,泸州,0.0,100,1,0
207,洛阳,14.399999999999997,2258,35,0
208,济南,8.499999999999998,2990,21,0
209,济宁,3.8999999999999995,423,9,0
210,济源,2.66,141,4,0
211,海东地区,6.4399999999999995,223,19,0
212,海北藏族自治州,2.84,188,24,0
213,海南,0.0,0,1,0
214,海南藏族自治州,3.9400000000000004,1277,32,0
215,海口,3.0999999999999996,2735,22,0
216,海西蒙古族藏族自治州,9.819999999999999,1225,29,0
217,淄博,2.84,190,6,0
218,淡水,0.0,146,2,0
219,淮南,0.72,248,3,0
220,淮安,0.0,28,2,0
221,深圳,9.08,6297,31,0
222,清远,6.739999999999999,2266,19,0
223,温州,5.48,520,12,0
224,渭南,3.8,2475,12,0
225,湖州,4.6,1986,11,0
226,湘潭,4.74,424,10,0
227,湘西,7.340000000000001,1261,28,0
228,湛江,0.0,36,1,0
229,滁州,4.68,601,11,0
230,滨州,1.0,157,3,0
231,漯河,1.0,26,2,0
232,漳州,7.240000000000001,2161,24,0
233,潍坊,5.72,574,19,0
234,潮州,0.82,82,4,0
235,澄迈,0.0,142,2,0
236,澳门,48.18000000000002,6162,188,0
237,濮阳,0.0,4,1,0
238,烟台,7.680000000000001,2181,22,0
239,焦作,5.279999999999999,824,9,0
240,牡丹江,4.760000000000001,828,16,0
241,玉林,3.46,329,8,0
242,玉树藏族自治州,6.88,0,13,0
243,玉溪,1.5,86,3,0
244,珠海,7.180000000000001,5124,17,0
245,琼中,0.0,34,1,0
246,琼海,5.380000000000001,736,15,0
247,甘南,5.3999999999999995,236,10,0
248,甘孜州,1.9,4080,8,0
249,白城,1.98,40,5,0
250,白山,1.7,678,25,0
251,白银,2.44,135,4,0
252,百色,4.96,333,8,0
253,益阳,0.0,14,1,0
254,盐城,0.74,256,5,0
255,盘锦,0.7,1090,6,0
256,眉山,1.0,221,2,0
257,石嘴山,5.5200000000000005,189,14,0
258,石家庄,12.340000000000002,1832,44,0
259,石河子,0.0,0,3,0
260,神农架,3.24,346,5,0
261,福州,8.139999999999999,2866,37,0
262,秦皇岛,12.600000000000001,4337,33,0
263,红河,5.1,781,14,0
264,绍兴,4.94,590,11,0
265,绵阳,4.720000000000001,1245,19,0
266,聊城,0.7,108,3,0
267,肇庆,2.56,398,5,0
268,自贡,2.64,383,4,0
269,舟山,3.12,2154,8,0
270,芜湖,2.48,4588,10,0
271,花莲,3.6399999999999997,1391,23,0
272,苏州,20.619999999999994,10369,61,0
273,苗栗,0.0,153,2,0
274,茂名,2.2800000000000002,186,5,0
275,荆州,3.12,287,8,0
276,荆门,5.32,323,10,0
277,莆田,2.62,200,4,0
278,莱芜,0.0,94,2,0
279,菏泽,0.0,18,1,0
280,萍乡,1.0,963,9,0
281,营口,0.96,338,9,0
282,葫芦岛,4.22,256,7,0
283,蚌埠,0.0,117,2,0
284,衡阳,3.3,752,7,0
285,衢州,1.7200000000000002,58,3,0
286,襄阳,3.26,905,14,0
287,西双版纳,8.36,2623,22,0
288,西宁,18.519999999999996,4109,69,0
289,西安,24.75999999999999,27049,92,0
290,许昌,3.44,963,7,0
291,贵港,1.72,152,3,0
292,贵阳,11.1,2618,44,0
293,贺州,3.2,950,5,0
294,赣州,2.84,4255,23,0
295,赤峰,8.06,593,19,0
296,辽阳,0.0,83,3,0
297,达州,0.0,196,2,0
298,运城,7.9399999999999995,1081,25,0
299,连云港,3.42,258,6,0
300,迪庆,5.140000000000001,1754,16,0
301,通化,3.8,330,12,0
302,通辽,1.0,145,8,0
303,遂宁,0.92,18,1,0
304,遵义,13.26,1535,37,0
305,邢台,4.86,196,12,0
306,那曲,5.98,434,14,0
307,邯郸,6.119999999999999,571,15,0
308,邵阳,1.0,68,2,0
309,郑州,9.48,14039,43,0
310,郴州,5.64,643,14,0
311,鄂尔多斯,6.96,1436,27,0
312,酒泉,10.499999999999998,4122,33,0
313,重庆,37.32,17832,195,0
314,金华,7.6000000000000005,4570,26,0
315,金昌,0.0,35,2,0
316,钦州,1.74,56,3,0
317,铁岭,0.0,82,1,0
318,铜仁,2.48,1805,22,0
319,铜川,1.0,6,1,0
320,铜陵,1.0,81,1,0
321,银川,24.03999999999999,2734,123,0
322,锡林郭勒盟,0.0,217,9,0
323,锦州,4.98,315,9,0
324,镇江,4.300000000000001,526,10,0
325,长春,7.4,1875,48,0
326,长沙,11.539999999999997,5391,56,0
327,长治,7.4799999999999995,1069,19,0
328,阜新,1.8599999999999999,136,4,0
329,阜阳,0.92,196,4,0
330,防城港,1.82,200,9,0
331,阳江,0.9,454,3,0
332,阳泉,2.56,334,8,0
333,阿克苏地区,4.819999999999999,701,16,0
334,阿勒泰,4.6,1823,8,0
335,阿坝藏族羌族自治州,9.48,1658,19,0
336,阿拉善盟,0.0,675,16,0
337,阿拉尔,0.0,0,1,0
338,阿里,7.920000000000001,435,12,0
339,陇南,6.76,87,12,0
340,陵水,2.0,992,7,0
341,随州,0.98,184,5,0
342,雅安,1.62,630,5,0
343,青岛,8.36,7384,42,0
344,鞍山,3.58,223,7,0
345,韶关,2.5,520,5,0
346,香港,33.95999999999998,14144,186,0
347,马鞍山,1.92,182,3,0
348,驻马店,0.7,50,5,0
349,高雄,3.0999999999999996,1412,21,0
350,鸡西,0.0,181,4,0
351,鹤壁,0.0,38,3,0
352,鹤岗,0.0,0,1,0
353,鹰潭,0.7,493,5,0
354,黄冈,4.32,891,10,0
355,黄南藏族自治州,2.6,74,4,0
356,黄山,17.459999999999997,19710,55,0
357,黄石,1.74,87,4,0
358,黑河,1.7,151,7,0
359,黔东南,8.68,1836,24,0
360,黔南,6.04,2034,23,0
361,黔西南,3.8599999999999994,609,9,0
362,齐齐哈尔,2.56,355,10,0
363,龙岩,4.52,517,14,0
